Outcome,Variant,Sex,Model,Predictors,N train,N test,Prevalence test,AUC,CV AUC mean,CV AUC sd,CV F1 macro,Train AUC,Threshold,Brier,Calibration slope,Calibration intercept,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,F1 macro,Kappa,TP,FP,TN,FN,Accuracy at threshold,Sensitivity at threshold,Specificity at threshold,PPV at threshold,NPV at threshold,F1 at threshold,F1 macro at threshold,Kappa at threshold,TP at threshold,FP at threshold,TN at threshold,FN at threshold,AUC CI low,AUC CI high,Sensitivity CI low,Sensitivity CI high,Specificity CI low,Specificity CI high,Brier CI low,Brier CI high,Fit time (s)
Combined,Baseline,Women,Neural network,570,4632,1158,0.4542,0.623,0.633,0.0036,0.6037,0.8381,0.4718,0.2532,0.3496,-0.0051,0.5933,0.5285,0.6472,0.5549,0.6225,0.5414,0.588,0.1764,278,223,409,248,0.5933,0.5741,0.6092,0.5501,0.6322,0.5619,0.5912,0.1827,302,247,385,224,0.5918,0.6529,0.5315,0.6144,0.5723,0.6506,0.2409,0.2657,581.0
Combined,Baseline,Women,XGBoost,570,4632,1158,0.4542,0.6275,0.6339,0.0135,0.5996,1.0,0.3438,0.3033,0.1711,0.2966,0.5976,0.5057,0.6741,0.5636,0.621,0.5331,0.5898,0.1813,266,206,426,260,0.5915,0.5856,0.5965,0.5471,0.6336,0.5657,0.5901,0.181,308,255,377,218,0.5965,0.6596,0.5412,0.6267,0.5601,0.6369,0.2824,0.3225,329.6
Combined,Baseline,Women,Gradient boosting,570,4632,1158,0.4542,0.6494,0.6552,0.0154,0.6155,0.8156,0.4856,0.2328,0.7811,0.0214,0.6097,0.4867,0.712,0.5845,0.625,0.5311,0.5984,0.2015,256,182,450,270,0.6079,0.5228,0.6788,0.5753,0.6309,0.5478,0.6009,0.2032,275,203,429,251,0.6179,0.681,0.4818,0.5665,0.644,0.715,0.224,0.2412,84.8
Combined,Baseline,Women,Histogram gradient boosting,570,4632,1158,0.4542,0.657,0.6553,0.0091,0.6102,0.9223,0.4422,0.2297,0.894,0.0241,0.6235,0.5057,0.7215,0.6018,0.6369,0.5496,0.6131,0.2303,266,176,456,260,0.6062,0.6198,0.5949,0.5601,0.6528,0.5884,0.6055,0.2128,326,256,376,200,0.6261,0.6877,0.5752,0.6609,0.5555,0.6322,0.2215,0.2383,57.6
Combined,Baseline,Women,Bagging,570,4632,1158,0.4542,0.6451,0.6431,0.0102,0.6011,0.9899,0.4842,0.2323,1.0245,0.0133,0.6166,0.4981,0.7152,0.5928,0.6313,0.5413,0.606,0.2162,262,180,452,264,0.6097,0.5418,0.6661,0.5746,0.636,0.5577,0.6042,0.209,285,211,421,241,0.6134,0.6764,0.5009,0.5833,0.6315,0.7034,0.2255,0.239,785.6
Combined,Baseline,Women,SGD classifier,570,4632,1158,0.4542,0.6224,0.6223,0.0078,0.5938,0.7284,0.4953,0.2562,0.3386,0.0148,0.6131,0.5247,0.6867,0.5823,0.6345,0.552,0.6058,0.2132,276,198,434,250,0.6114,0.5266,0.682,0.5795,0.6338,0.5518,0.6044,0.2102,277,201,431,249,0.5909,0.6519,0.483,0.5688,0.6444,0.7196,0.2438,0.2699,40.8
Combined,Baseline,Women,K-nearest neighbors,570,4632,1158,0.4542,0.5575,0.5749,0.0173,0.5233,1.0,0.3809,0.2519,0.3779,0.1705,0.557,0.3004,0.7706,0.5215,0.5696,0.3812,0.5181,0.0736,158,145,487,368,0.5302,0.6521,0.4288,0.4872,0.5969,0.5577,0.5284,0.0787,343,361,271,183,0.5243,0.5891,0.6099,0.6904,0.3922,0.4686,0.2439,0.26,41.5
Combined,Baseline,Men,Penalised logistic regression,570,4207,1052,0.4363,0.6608,0.6589,0.0208,0.619,0.727,0.4429,0.2279,0.7982,-0.012,0.6293,0.4793,0.7454,0.593,0.649,0.5301,0.612,0.2296,220,151,442,239,0.6255,0.5991,0.6459,0.567,0.6755,0.5826,0.6215,0.2434,275,210,383,184,0.6284,0.6909,0.5566,0.6408,0.6085,0.6855,0.2186,0.2372,1149.8
Combined,Baseline,Men,Random forest,570,4207,1052,0.4363,0.6681,0.6571,0.0135,0.5975,0.7793,0.4135,0.2278,1.4028,-0.008,0.6122,0.4466,0.7403,0.571,0.6335,0.5012,0.592,0.1916,205,154,439,254,0.6255,0.6514,0.6054,0.561,0.6917,0.6028,0.6243,0.2522,299,234,359,160,0.6368,0.6996,0.6041,0.692,0.569,0.6437,0.221,0.2344,82.5
Combined,Baseline,Men,Neural network,570,4207,1052,0.4363,0.5896,0.6298,0.0111,0.6026,0.9708,0.4737,0.3584,0.0614,1.1077,0.5713,0.4074,0.6981,0.5109,0.6035,0.4533,0.5504,0.108,187,179,414,272,0.5722,0.4205,0.6897,0.5119,0.6059,0.4617,0.5534,0.1125,193,184,409,266,0.5563,0.6243,0.3769,0.467,0.6494,0.7267,0.3347,0.3842,503.0
